Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Goran Stolevski,"Marija Dimitrova,Klaudia Śmieja,Ankica Juric-Tilic,Beata Rzezniczek,Milan Stojanovic,Blerta Basholli",Goran Stolevski,Focus Features,"Industria Film,Common Ground Pictures,SENSE Production,Causeway Films,List Production,Film i Väst,Madants,Kinorama",R (Some Teen Drinking|Sexual Content|Language Throughout),"Drama,LGBTQ+",Macedonian,"Apr 5, 2024, Limited","May 7, 2024",1h 47m,Dolby Digital,Housekeeping for Beginners,$241.0K,,,
Jeff Tremaine,"Jeff Tremaine,Spike Jonze,Johnny Knoxville",,Paramount Pictures,"Paramount Pictures,Dickhouse Productions,MTV Entertainment Studios",R (Graphic Nudity|Dangerous Stunts|Language Throughout|Strong Crude Material),Comedy,English,"Feb 4, 2022, Wide","Mar 22, 2022",1h 36m,,Jackass Forever,$57.7M,Flat (1.85:1),,
John Kent Harrison,Brent Shields,Horton Foote,,Hallmark Hall of Fame Productions,"PG,TV-G",Drama,English,,,1h 37m,Stereo,Old Man,,,,
Joshua Sowden,"Guy Birtwhistle,Joshua Sowden",Guy Birtwhistle,Indie Rights,Savile Park Studios,,"Sci-Fi,Drama",English,,"Oct 4, 2024",1h 11m,,Our Man in LA,,,,
Steven Kostanski,"Stuart F. Andrews,Shannon Hanmer,Steven Kostanski",Steven Kostanski,RLJE Films,"Dystopia Films,Raven Banner Entertainment",,"Horror,Comedy",English,"Jan 22, 2021, Limited","Jan 22, 2021",1h 35m,,PG: Psycho Goreman,$95.1K,Scope (2.35:1),,
Jeff Hamm,"Ken Ray Monts,Jeff Hamm,Jay Dee Walters","Justin Chaffee,Jay Dee Walters,Jeff Hamm",Ichthys Films,"Ichthys Films,Red Plaid Films",,"Drama,Comedy,Crime,Holiday",English,,"Nov 1, 2024",1h 47m,,Porch Pirates,,,,
Adrian Grunberg,"Arianne Fraser,Delphine Perrier,Jon Silk,Javier Chapa",Boise Esquerra,The Avenue,"Silk Mass,Lantica Media,Buzzfeed Studios,Diamond Films,Chocolatito,Mucho Mas Media",R (Some Grisly Images),"Mystery & Thriller,Action,Horror",English,"Apr 28, 2023, Limited","May 30, 2023",1h 40m,,The Black Demon,,,,
Laura McGann,"John Battsek,Sarah Thomson,Jamie D'Alton,Anne McLoughlin",Laura McGann,Netflix,"Ventureland,A24,Raw,Motive Pictures",PG (Language|Unsettling Images|Some Intense Peril),"Documentary,Biography,Sports",English,"Jul 14, 2023, Limited","Jul 19, 2023",1h 48m,Dolby Digital,The Deepest Breath,,,,
Laurel Parmet,"Kevin Rowe,Kara Durrett",Laurel Parmet,Bleecker Street,"2AM,Sons of Rigor Films,Pinky Promise",R,Drama,English,"May 12, 2023, Limited","Jul 11, 2023",1h 56m,,The Starling Girl,$158.3K,,,
Dolph Lundgren,"Dolph Lundgren,Craig Baumgarten","Dolph Lundgren,Michael Worth,Hank Hugues",Quiver Distribution,"Red Orm Productions Inc.,Millennium Media,Thor Pictures,BCD Travel",,"Action,Mystery & Thriller",English,"Jan 19, 2024, Limited","Jan 19, 2024",1h 26m,,Wanted Man,,,,
Liz Garbus,,,,,,,,,,,,Coma,,,,
Johannes Roberts,,"Johannes Roberts,Joseph London",,,R (Some Sexuality|Horror Violence|Nudity|Language),Horror,English,,,1h 35m,,Demonic,,,,"Aug 19, 2008"
Kd Amond,"Kd Amond,Sarah Zanotti,Sara De La Haya,Nichole Marie Lim,Christopher Martin","Kd Amond,Sarah Zanotti",,AZ if Productions,,Horror,English,,"May 10, 2022",1h 23m,,Faye,,Scope (2.35:1),,
Jeff Zimbalist,"Jeff Zimbalist,Victoria Marquette,Polina Dubik",Jeff Zimbalist,Zeitgeist Films,All Rise Films,,"Documentary,Biography",English,"Jun 28, 2024, Limited","Sep 3, 2024",1h 42m,,How to Come Alive with Norman Mailer,$64.2K,,,
Kim O. Nguyen,"Jeremy Garelick,Will Phelps,Molle DeBartolo,Kevin Hart,Bryan Smiley,Luke Kelly-Clyne,Mickey Liddell,Pete Shilaimon",D.J. Mausner,Hulu,"American High,LD Entertainment,HartBeat Productions",,Comedy,English,,"May 3, 2024",1h 30m,,Prom Dates,,,,
"Alex Huston Fischer,Eleanor Wilson","Kara Durrett,Adi Ezroni,Mandy Tagger Brockey","Alex Huston Fischer,Eleanor Wilson",Bleecker Street Media,"Keshet Studios,Washingston Square Films,Last Rodeo Studios",R (Language),"Comedy,Sci-Fi",English,"Oct 2, 2020, Limited","Oct 6, 2020",1h 33m,,Save Yourselves!,$297.3K,Flat (1.85:1),,
Jennifer Perrott,Martin Pope,"Tom Bidwell,Margery Williams",Apple TV+,Magic Light Pictures,,"Kids & Family,Drama,Animation,Fantasy",English,,"Nov 22, 2023",44m,,The Velveteen Rabbit,,,,
Danny A. Abeckaser,,"Shmuel Lynn,Kosta Kondilopoulos",Gravitas Ventures,Gravitas Ventures,,"History,Drama,War",English,,"Mar 19, 2024",1h 25m,,Bardejov,,,,
Luke Sparke,"Carmel Imrie,Carly Imrie",Tom Evans,Roadside Attractions / Samuel Goldwyn Films,"Première TV Distribution,Sparke Films",R (Violence|Pervasive Language),"Action,Mystery & Thriller,Crime,Drama",Australian English,"Jan 19, 2024, Limited","Jan 19, 2024",1h 36m,,Bring Him to Me,$1.5K,,,
Damien LeVeck,"Shirit Bradley,Dan Clifton,Damien LeVeck,Natalie LeVeck","Damien LeVeck,Aaron Horwitz",,Skubalon,,Horror,English,,"Jan 19, 2021",1h 34m,,The Cleansing Hour,,,,
"Dominic Higgins,Ian Higgins","Nigel Martin Davey,John A Dawson","Dominic Higgins,Ian Higgins",AMCOMRI / 101 Films,"Pixel Revolution Films,Red Storm Film Company",,"War,Biography,History,Drama",British English,,"Mar 12, 2024",1h 48m,,The Shamrock Spitfire,,,,
James Cox,"Holly Wiersma,Michael Paseornek","Captain Mauzner,James Cox,Todd Samovitz,D. Loriston Scott",Lionsgate Films,"Killer Films,Emmett/Furla Films",R,"Crime,Drama,Biography",English,"Oct 17, 2003, Wide","Feb 1, 2011",1h 44m,Surround,Wonderland,$1.1M,,,
"Richard Phelan,Will Becher",Paul Kewley,"Mark Burton,Jon Brown",,"StudioCanal International,Bona Film Group,Aardman Animations,Anton,StudioCanal,Amazon Prime Video,MEDIA Programme of the European Union",G,"Kids & Family,Comedy,Adventure,Sci-Fi,Animation",British English,,"Feb 14, 2020",1h 27m,"Dolby Atmos,DTS",A Shaun the Sheep Movie: Farmageddon,,Scope (2.35:1),,
Leos Carax,"Charles Gillibert,Paul-Dominique Win Vacharasinthu","Ron Mael,Russell Mael",Amazon Studios,"Detailfilm,arte France Cinéma,Scope Pictures,RTBF,Tribus P. Films,Wrong Men,CG Cinéma,Theo Films,Eurospace,UGC",R (Sexual Content|Language|Some Nudity),Drama,English,"Aug 6, 2021, Limited","Aug 20, 2021",2h 19m,,Annette,,Flat (1.85:1),,
Jessica Hausner,"Johannes Schubert,Bruno Wagner,Philippe Bober,Mike Goodridge","Jessica Hausner,Géraldine Bajard",Film Movement,"Paloma Productions,Arte,Société Parisienne de Production,Coproduction Office,Danish Film Institute,Coop99 Filmproduktion,Club Zero,Essential Filmproduktion GmbH",,"Drama,Mystery & Thriller",English,"Mar 15, 2024, Limited","May 21, 2024",1h 50m,Dolby Digital,Club Zero,$11.4K,Flat (1.85:1),,
Erica Arvold,,Meredith Grace Dabney,,"Astrabeta Creations,Point Nine Films ,Arvold ",,Drama,English,,,16m,,Here Today,,,,
Barbara Topsøe-Rothenborg,Marcella Linstad Dichmann,"Anders Rønnow Klarlund,Jacob Weinreich",,"Netflix Studios,TV 2 Film,SF Studios",,Mystery & Thriller,Danish,,"Aug 26, 2022",1h 44m,,Loving Adults,,,,
Kaneto Shindô,,Kaneto Shindô,,Kindai Eiga Kyokai,,"Horror,Fantasy",Japanese,,"Oct 15, 2020",1h 45m,,Onibaba,,,,
David Poag,"Noor Ahmed,Michael Hagerty,Shannon Houchins",Billie Bates,Strike Back Studios,"Film Mode Entertainment ,Hideout Pictures,Strike Back Studios,Particular Crowd",,"Kids & Family,Holiday,Fantasy,Adventure",English,"Sep 30, 2022, Limited","Oct 11, 2022",1h 27m,,Spirit Halloween: The Movie,,,,
,,,,,,Documentary,English,,,1h 0m,,The Collective,,,,
Jeff Orlowski-Yang,Larissa Rhodes,"Davis Coombe,Jeff Orlowski-Yang,Vickie Curtis",,"Exposure Labs,The Space Program,Agent Pictures",PG-13 (Disturbing/Violent Images|Suggestive Material|Some Thematic Elements),Documentary,English,,"Sep 9, 2020",1h 34m,,The Social Dilemma,,,,
Etana Jacobson,"Alec Moore,Etana Jacobson,Jane Miller,Sarah Burns",Alec Moore,Good Deed Entertainment,"Sexy, Sexy Science,Varona Productions",,"Comedy,LGBTQ+",English,"Sep 3, 2024, Limited","Oct 8, 2024",1h 35m,,Advanced Chemistry,,,,
Alex Ranarivelo,"Ali Afshar,Daniel Aspromonte,Christina Moore,Ava Rettke",John Ducey,,ESX Entertainment,PG (Mild Language),"Holiday,Romance,Comedy",English,,"Dec 14, 2022",1h 29m,,I Believe in Santa,,,,
Philippa Lowthorpe,"Suzanne Mackie,Sarah Wheale","Rebecca Frayn,Gaby Chiappe",SHOUT! Studios,"Rococo Films,Ingenious Media,Pathé,BFI Films,BBC Films,Left Bank Pictures",,"Comedy,Drama",British English,"Sep 25, 2020, Limited","Sep 25, 2020",1h 46m,,Misbehaviour,,,,
Matthew Goodhue,"Mark David,Bradley Fowler,Matthew Goodhue,Cady Lanigan,Victoria Matlock,David Albert Pierce,Jason Sada,Michael J. Weiss",Bradley Fowler,Iconic Events / Gravitas Ventures,"Cinema Relics Productions,Renegade Studios,Buffalo Speedway Film Co.,Talking Wolf Productions",PG-13 (Violence|Language|Bloody Images),"Comedy,Drama,Horror,Mystery & Thriller",English,"Aug 30, 2023, Limited","Sep 19, 2023",1h 33m,,Slotherhouse,,,,
Choi Jae-hun,,Choi Jae-hun,,Smile Entertainment,,"Horror,Mystery & Thriller",Korean,,,1h 25m,,The Hypnosis,,,,
Martin Guigui,"Tony Hannagan,Cristi Harris,J. Shawn Harris,Galen Walker","Kevin E. Moore,J. Shawn Harris",,"Gama Entertainment Partners,Horror Business Films,7 Ideas,Sunset Pictures",,"Mystery & Thriller,Horror,Sci-Fi",English,,"Jun 8, 2021",1h 34m,,The Unhealer,,,,
Jacob Tierney,Victoria Hirst,,Strand Releasing,Victorious Films,R (Disturbing Sexual Content|Some Violence|Language),Drama,English,"May 21, 2004, Original","Jan 26, 2017",1h 37m,Surround,Twist,$46.2K,Flat (1.85:1),,
Randal Kamradt,"Angel Corbin,Randal Kamradt,Maria Olsen",Randal Kamradt,,"Monsterworks66,Soliloquy Films",,"Adventure,Drama,Fantasy",English,,"Nov 18, 2016",1h 48m,,Faraway,,,,
Henry Hathaway,Walter Wanger,,United Artists,United Artists,,Adventure,English,"Oct 31, 1941, Original","Aug 11, 2016",1h 31m,,Sundown,,,,
Joanna Hogg,"Ed Guiney,Andrew Lowe,Emma Norton,Joanna Hogg",Joanna Hogg,A24,"Element Pictures,Cineart,JWH Films",PG-13 (Some Drug Material),"Mystery & Thriller,Drama",English,"Dec 2, 2022, Limited","Dec 2, 2022",1h 36m,Dolby Digital,The Eternal Daughter,$28.0K,,,
,,,,,,Drama,,,,,,The Occupant,,,,
Monika Mitchell,"Stephanie Germain,Peter Guber,Peter Strauss,Peter E. Strauss","Suzette Couture,Donald Martin,Edithe Swensen",,"Eponymous Production,Mandalay Pictures",,Mystery & Thriller,English,,"Jan 13, 2022",1h 34m,,Brazen,,,,
Lee Myung-hoon,Han Jae-deok,Lee Myung-hoon,Netflix,Sanai Pictures,,"Action,Comedy",Korean,,"Aug 9, 2024",1h 40m,,Mission: Cross,,,,
Caden Douglas,"Michael Lomenda,Matt Schichter",Caden Douglas,Gravitas Ventures,HighballTV,,"Comedy,Horror,Mystery & Thriller",English,,"Oct 8, 2024",1h 25m,,Mother Father Sister Brother Frank,,,,
"Toby Genkel,Florian Westermann","Julia Stuart,Emely Christians,Andrew Baker,Robert Chandler,Rob Wilkins",Terry Rossio,Viva Kids,"SKY,Cantilever Media,Squeeze Studio Animation,Global Screen,Red Star 3D,Ulysses Filmproduktion,Studio Rakete,Moonshot Films,Telepool,Narrativia",PG (Some Rude Material|Action/Peril),"Kids & Family,Comedy,Adventure,Fantasy,Drama,Animation",English,"Feb 3, 2023, Wide","Apr 4, 2023",1h 33m,,The Amazing Maurice,,Flat (1.85:1),,
Matt Smukler,"Jamie Patricof,Katie McNeill,Kyle Owens,Ethan Lazar,Austen Rydell,Billie Lourd,Dylan Sellers,Chris Parker",Jana Savage,Momentum Pictures,"Morning Moon Productions,Entertainment One,Limelight,Hunting Lane Films",R (Teen Drinking|Some Language|A Sexual Reference),"Comedy,Drama",English,"Mar 17, 2023, Limited","Mar 21, 2023",1h 45m,,Wildflower,,,,
Conor Soucy,"Conor Soucy,Birk Gran,Ben Grant","Conor Soucy,Colin Charles Dale",Vertical,"Howlin’ Hound Pictures,Brothers Gran Productions",,"Horror,Mystery & Thriller",English,"Jul 5, 2024, Limited","Jul 9, 2024",1h 30m,,Dead Whisper,,,,
Ryan Polito,,,Netflix,,,"Comedy,Stand-Up",English,,"Sep 17, 2024",1h 5m,,"Deon Cole: OK, Mister",,,,
"Michael Govier,Will McCormack","Gerald Chamales,Maryann Garger,Gary Gilbert,Michael Govier","Michael Govier,Will McCormack",,"Gilbert Films,Oh Good Productions",PG (Gun Violence|Strong Thematic Material),"Drama,Animation",English,,"Nov 20, 2020",12m,,If Anything Happens I Love You,,,,
Heather Young,,Heather Young,,,,Drama,English,,,1h 24m,,Murmur,,,,
Duncan Jones,Stuart Fenegan,Duncan Jones,,"Liberty Films UK,Studio Babelsberg",,"Sci-Fi,Mystery & Thriller",English,,"Jun 22, 2020",2h 6m,,Mute,,,,
Unknown Director,,,,,,,,,,,,Spell,,,,
Surender Reddy,Ronnie Screwvala,,,,,Action,,,,3h 0m,,Target,,,,
John Farrelly,,John Farrelly,,Jackpot Films,,"Mystery & Thriller,Horror",English,,"Nov 1, 2022",1h 25m,,The Sleep Experiment,,Scope (2.35:1),,
Laura Poitras,"Nan Goldin,Howard Gertler,John S. Lyons,Yoni Golijov,Laura Poitras",Laura Poitras,NEON,"Participant,Praxis Films",,"Documentary,Biography",English,"Nov 23, 2022, Limited","Mar 19, 2023",1h 57m,Dolby Digital,All the Beauty and the Bloodshed,$500.1K,,,
Nicole L. Thompson,,Nicole L. Thompson,,,,Drama,English,,,18m,,Blackbird,,,,
Philippe Falardeau,"Luc Déry,Kim McCraw",Philippe Falardeau,IFC Films,Parallel Film Productions Ltd.,R (Some Sexual References|Language),Drama,English,"Mar 5, 2021, Limited","Mar 5, 2021",1h 41m,,My Salinger Year,$54.0K,,,
Gabriela Cowperthwaite,"Michael A. Pruss,Teddy Schwarzman,Ryan Stowell,Kevin J. Walsh",Brad Ingelsby,Gravitas Ventures,"Black Bear Pictures,Scott Free Productions,STX International",R (Language),Drama,English,"Jan 22, 2021, Wide","Jan 22, 2021",2h 4m,,Our Friend,$657.4K,Flat (1.85:1),,
Dustin Puehler,Dustin Puehler,Dustin Puehler,,,,"Comedy,Horror",English,"Dec 14, 2014, Limited",,1h 20m,,Reality +,,,,
"Hong Sung-ho,MooHyun Jang,YoungSik Uhm","Hwang Su-jin,Kim Hyung-soon,Belli Ramirez",Hong Sung-ho,,"Sidus,Locus Creative Studios,Warner Bros.,Next Entertainment World",PG (Some Action/Peril),"Kids & Family,Fantasy,Adventure,Animation",English,,"Sep 14, 2020",1h 32m,Dolby Digital,Red Shoes and the Seven Dwarfs,,Flat (1.85:1),,
Anthony Butler,,Anthony Butler,,,,Documentary,English,,,32m,,Relative,,,,
Jean Luc Herbulot,Paméla Diop,"Jean Luc Herbulot,Paméla Diop",IFC Midnight,Lacmé,,"Horror,Mystery & Thriller,Action",Wolof,"Sep 2, 2022, Limited","Sep 8, 2022",1h 24m,,Saloum,$3.9K,,,
"Fenton Bailey,Randy Barbato","Fenton Bailey,Randy Barbain",,Lionsgate Films,"World of Wonder,FilmFour,Cinemax",PG-13 (Some Sexual Content),Documentary,English,"Jan 25, 2000, Original","Feb 4, 2017",1h 19m,,The Eyes of Tammy Faye,$1.0M,,,
Colette Camden,,,,,TV-MA (Language|Sexual Violence References|Smoking),"Documentary,Crime",English,,"Jan 10, 2023",1h 25m,,The Hatchet Wielding Hitchhiker,,,,
"Joaquín Cociña,Cristóbal León","Niles Atallah,Catalina Vergara","Joaquín Cociña,Cristóbal León,Alejandra Moffat",KimStim,,,"Fantasy,Horror,Drama,Animation",Spanish,"May 15, 2020, Limited","May 15, 2020",1h 15m,,The Wolf House,,,,
Richard Styles,"G. Monty Brinson,Kim Richards",,,Brinson-Richards Entertainment,,Mystery & Thriller,English,,,1h 28m,,Escape,,,,
Konstantin Buslov,"Konstantin Buslov,Sergey Bodrov","Sergey Bodrov,Anatoliy Usov,Aleksey Borodachyov",Top Film,RB Production,,"Biography,War,Drama",Russian,,"Feb 16, 2021",1h 50m,,Kalashnikov,,,,
Andrew Bowser,"Clark Baker,Michael Mobley,Olivia Taylor Dudley,Andrew Bowser",Andrew Bowser,Fathom Events,Greenery Studios,,"Comedy,Horror,Action",English,"Oct 19, 2023, Limited","Nov 14, 2023",1h 50m,,Onyx the Fortuitous and the Talisman of Souls,,Digital 2.39:1,,
Amy Seimetz,"Justin Benson,David Lawson Jr.,Aaron Moorhead,Amy Seimetz",Amy Seimetz,NEON,Rustic Films,R (Sexual Reference|Drug Use|Bloody Images),"Mystery & Thriller,Drama",English,"Jul 31, 2020, Limited","Aug 7, 2020",1h 24m,,She Dies Tomorrow,,,,
Ben Senior,Ben Senior,Ben Senior,,"Little Lake Productions,Monkey Studios",,Romance,English,,"Feb 5, 2020",1h 40m,,The Fall,,,,
Nick Rowland,Daniel Emmerson,Joe Murtagh,Saban Films,"Screen Ireland,DMC Film,Film 4,Element Pictures,WRAP Fund",R (Drug Use|Brief Nudity|Pervasive Language|Some Strong Violence),"Crime,Drama,Mystery & Thriller",British English,"Jul 31, 2020, Limited","Jul 31, 2020",1h 41m,,The Shadow of Violence,,Scope (2.35:1),,
Alicia Rose,,Alicia Rose,,,,"Comedy,Romance",English,,,7m,,The Wave,,,,
"Brian Mulvey,Seth Tucker",,Brian Mulvey,Gravitas Ventures,,,Documentary,English,,"Aug 6, 2024",1h 41m,,American Highway,,,,
Brandon Slagle,"Michael Mahal,Sonny Mahal","Brandon Slagle,Michael Mahal,Sonny Mahal",Gravitas Ventures,"Blaen-Y-Maes Bootleg Films,FilmCore,Spicy Ramen Productions,Mezek Films,Wicked Monkey Pictures,Mahal Empire,Terrifying Productions,Alien Donut Films",,"Comedy,Horror",English,,"Jun 25, 2024",1h 35m,,Arena Wars,,,,
Sébastien Drouin,"James Barton-Steel,Julien Loeffler,James Kermack","Sébastien Drouin,Sébastien Drouin,Andrew Desmond,James Kermack",Level 33 Entertainment,"Featuristic Films,Trilight Entertainment",,Mystery & Thriller,English,"Feb 23, 2024, Limited","Feb 23, 2024",1h 27m,Dolby Atmos,Cold Meat,,,,
Paul Moore,,,,,R (Some Sexual Content|Drug Use|Language|Horror Violence),Horror,English,,,1h 28m,,Dark Harvest,,,,
Anthony DiBlasi,"Scott Poiley,Dan Clifton","Anthony DiBlasi,Scott Poiley",Welcome Villain Films,"Welcome Villain,Skyra Entertainment",,Horror,English,"Mar 31, 2023, Limited","May 16, 2023",1h 32m,,Malum,$220.0K,,,
"Kyle Marshall,Dave Needham","Paul Gertz,David Kirschner","Bill Kelly,Kevin Sullivan,Chris Viscardi,J. David Stem,David N. Weiss",Nickelodeon,"Nickelodeon Movies,David Kirschner Productions",,"Kids & Family,Adventure,Action,Animation",English,,"Jun 21, 2024",1h 42m,,No Time to Spy: A Loud House Movie,,,,
Jo Sung-hee,"Kim Su-jin,Yoon In-beom","Jo Sung-hee,Mokan,Yoogang Seoae",,Netflix,,Sci-Fi,Korean,,"Feb 5, 2021",2h 16m,,Space Sweepers,,,,
Ralph Nelson,Ralph Nelson,"Jack Higgins,Ralph Nelson",,Metro-Goldwyn-Mayer,PG,Western,English,,,1h 51m,,The Wrath of God,,,,"Sep 11, 2012"
Richard Thorpe,Joe Pasternak,,,Metro-Goldwyn-Mayer,,Musical,English,"Nov 4, 1954, Limited","Jan 8, 2017",1h 36m,,Athena,,,,
Gordon Hessler,Gerald I. Isenberg,,,Metromedia Productions,,Mystery & Thriller,English,,"Jun 30, 2016",1h 14m,,Betrayal,,,,
Karim Ouelhaj,"Florence Saâdi,Nicolas George,Karim Ouelhaj",Karim Ouelhaj,Dark Star Pictures,Les Films du Carré,,"Horror,Mystery & Thriller",French,"Sep 8, 2023, Limited","Sep 26, 2023",1h 40m,,Megalomaniac,,,,
Michael Aki,,"Michael Aki,Robert Burke",,,,"Mystery & Thriller,Romance",English,,,1h 47m,,Strangers,,,,
Leonardo D'Agostini,,"Giulia Steigerwalt,Leonardo D'Agostini,Antonella Lattanzi",,RAI Cinema,,Drama,Italian,,,1h 45m,,The Champion,,,,
Yuval Adler,"Lorenzo di Bonaventura,Stuart Ford,Erik Howsam,Greg Shapiro,Adam Riback","Ryan Covington,Yuval Adler",Bleecker Street,"Fibonacci Films,AGC Studios,Echo Lake Entertainment,Di Bonaventura Pictures,Kirkhaus Films",R (Language|Brief Sexuality|Rape|Some Nudity|Strong Violence),Mystery & Thriller,English,"Sep 16, 2020, Limited","Oct 16, 2020",1h 38m,,The Secrets We Keep,$207.9K,,,
Junaid Syed,"Hayley Medwell,Junaid Syed,Jatinder Kumar Bhardwaj",,Vertical,,,"Sci-Fi,Mystery & Thriller",British English,"Apr 21, 2023, Limited","Apr 21, 2023",1h 25m,,War of the Worlds: The Attack,,Scope (2.35:1),,
"Eren Celeboglu,Ari Costa","Angela Russo-Otstot,Kassee Whiting,John Zois","J.J. Braider,Eren Celeboglu,Ari Costa",Vertical,"AGBO,E1 Entertainment,Anton",,"Horror,Mystery & Thriller",English,"Sep 1, 2023, Limited","Sep 1, 2023",1h 16m,,All Fun and Games,,Digital 2.39:1,,
Jonathan Cenzual Burley,Jonathan Cenzual Burley,Jonathan Cenzual Burley,,,,Drama,Spanish,,"Mar 7, 2018",1h 38m,,The Shepherd,,,,
Karen Arthur,,,,Touchstone Television,,Drama,English,,,1h 36m,,Blue Bayou,,,,
Rapman,"Damian Jones,Joy Gharoro-Akpojotor",Rapman,,"Paramount Pictures,BBC Films,Joi Productions,DJ Films,WrushMedia",R (Language Throughout|Drug Use|Some Sexuality|Violence),"Crime,Drama",British English,,"May 5, 2020",1h 31m,,Blue Story,,,,
John Swab,"Robert Ogden Barnum,Oliver Ridge,Jeremy M. Rosen,John Swab",John Swab,Vertical Entertainment,"Particular Crowd,One Two Twenty Entertainment,Roxwell Films,BondIt Media Capital,Blood Moon Creative,Voltage Pictures",R (Some Sexual Content|Pervasive Language|Strong Drug Content),"Crime,Drama,Mystery & Thriller",English,"Feb 19, 2021, Limited","Feb 19, 2021",1h 53m,,Body Brokers,,,,
Sean McNamara,Charles Cooper,Brian Buccellato,SP Media Group,"Gaming Danger,Front Street Pictures",R (Strong Violence|Language Throughout|Gore),"Mystery & Thriller,Drama",English,"Oct 21, 2022, Limited","Oct 21, 2022",1h 36m,,Dangerous Game: The Legacy Murders,,,,
"Ken McMullen,Christopher Rodrigues",,,,,,Drama,English,,,1h 30m,,Resistance,,,,
Michael Cristofer,"Bruce Cohen,Steven Rogers,Scott Thigpen,Marie Halliday",Elisabeth Seldes Annacone,Max,"Places Productions,Crazy Legs Features,Cloud to Ground,LineProd Films,Sonny Boy Productions,HBO Films,Uncle Easy Productions,Bruce Cohen Productions",,Drama,English,,"May 31, 2024",1h 54m,,The Great Lillian Hall,,,,
Hannah Pearl Utt,"Mallory Schwartz,Jeffrey Soros,Simon Horsman",Rhianon Jones,Brainstorm Media,"Almanor Films,Neon Heart Productions,Los Angeles Media Fund",,"Comedy,LGBTQ+,Drama,Romance",English,"Jun 14, 2024, Limited","Jul 12, 2024",1h 32m,,Cora Bora,$26.6K,,,
Andrew Ahn,,"Hannah Bos,Paul Thureen",,"Allusionist Pictures,Symbolic Exchange,Electric Panda Entertainment,Studio Mao,Maven Pictures,CinemaWerks",,Drama,English,,"May 8, 2020",1h 23m,,Driveways,,,,
