Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
"Toby Genkel,Florian Westermann","Julia Stuart,Emely Christians,Andrew Baker,Robert Chandler,Rob Wilkins",Terry Rossio,Viva Kids,"SKY,Cantilever Media,Squeeze Studio Animation,Global Screen,Red Star 3D,Ulysses Filmproduktion,Studio Rakete,Moonshot Films,Telepool,Narrativia",PG (Some Rude Material|Action/Peril),"Kids & Family,Comedy,Adventure,Fantasy,Drama,Animation",English,"Feb 3, 2023, Wide","Apr 4, 2023",1h 33m,The Amazing Maurice,,Flat (1.85:1),,,
Matt Smukler,"Jamie Patricof,Katie McNeill,Kyle Owens,Ethan Lazar,Austen Rydell,Billie Lourd,Dylan Sellers,Chris Parker",Jana Savage,Momentum Pictures,"Morning Moon Productions,Entertainment One,Limelight,Hunting Lane Films",R (Teen Drinking|Some Language|A Sexual Reference),"Comedy,Drama",English,"Mar 17, 2023, Limited","Mar 21, 2023",1h 45m,Wildflower,,,,,
Conor Soucy,"Conor Soucy,Birk Gran,Ben Grant","Conor Soucy,Colin Charles Dale",Vertical,"Howlin’ Hound Pictures,Brothers Gran Productions",,"Horror,Mystery & Thriller",English,"Jul 5, 2024, Limited","Jul 9, 2024",1h 30m,Dead Whisper,,,,,
Ryan Polito,,,Netflix,,,"Comedy,Stand-Up",English,,"Sep 17, 2024",1h 5m,"Deon Cole: OK, Mister",,,,,
"Michael Govier,Will McCormack","Gerald Chamales,Maryann Garger,Gary Gilbert,Michael Govier","Michael Govier,Will McCormack",,"Gilbert Films,Oh Good Productions",PG (Gun Violence|Strong Thematic Material),"Drama,Animation",English,,"Nov 20, 2020",12m,If Anything Happens I Love You,,,,,
Heather Young,,Heather Young,,,,Drama,English,,,1h 24m,Murmur,,,,,
Duncan Jones,Stuart Fenegan,Duncan Jones,,"Liberty Films UK,Studio Babelsberg",,"Sci-Fi,Mystery & Thriller",English,,"Jun 22, 2020",2h 6m,Mute,,,,,
Unknown Director,,,,,,,,,,,Spell,,,,,
Surender Reddy,Ronnie Screwvala,,,,,Action,,,,3h 0m,Target,,,,,
John Farrelly,,John Farrelly,,Jackpot Films,,"Mystery & Thriller,Horror",English,,"Nov 1, 2022",1h 25m,The Sleep Experiment,,Scope (2.35:1),,,
Laura Poitras,"Nan Goldin,Howard Gertler,John S. Lyons,Yoni Golijov,Laura Poitras",Laura Poitras,NEON,"Participant,Praxis Films",,"Documentary,Biography",English,"Nov 23, 2022, Limited","Mar 19, 2023",1h 57m,All the Beauty and the Bloodshed,Dolby Digital,,$500.1K,,
Nicole L. Thompson,,Nicole L. Thompson,,,,Drama,English,,,18m,Blackbird,,,,,
Philippe Falardeau,"Luc Déry,Kim McCraw",Philippe Falardeau,IFC Films,Parallel Film Productions Ltd.,R (Some Sexual References|Language),Drama,English,"Mar 5, 2021, Limited","Mar 5, 2021",1h 41m,My Salinger Year,,,$54.0K,,
Gabriela Cowperthwaite,"Michael A. Pruss,Teddy Schwarzman,Ryan Stowell,Kevin J. Walsh",Brad Ingelsby,Gravitas Ventures,"Black Bear Pictures,Scott Free Productions,STX International",R (Language),Drama,English,"Jan 22, 2021, Wide","Jan 22, 2021",2h 4m,Our Friend,,Flat (1.85:1),$657.4K,,
Dustin Puehler,Dustin Puehler,Dustin Puehler,,,,"Comedy,Horror",English,"Dec 14, 2014, Limited",,1h 20m,Reality +,,,,,
"Hong Sung-ho,MooHyun Jang,YoungSik Uhm","Hwang Su-jin,Kim Hyung-soon,Belli Ramirez",Hong Sung-ho,,"Sidus,Locus Creative Studios,Warner Bros.,Next Entertainment World",PG (Some Action/Peril),"Kids & Family,Fantasy,Adventure,Animation",English,,"Sep 14, 2020",1h 32m,Red Shoes and the Seven Dwarfs,Dolby Digital,Flat (1.85:1),,,
Anthony Butler,,Anthony Butler,,,,Documentary,English,,,32m,Relative,,,,,
Jean Luc Herbulot,Paméla Diop,"Jean Luc Herbulot,Paméla Diop",IFC Midnight,Lacmé,,"Horror,Mystery & Thriller,Action",Wolof,"Sep 2, 2022, Limited","Sep 8, 2022",1h 24m,Saloum,,,$3.9K,,
"Fenton Bailey,Randy Barbato","Fenton Bailey,Randy Barbain",,Lionsgate Films,"World of Wonder,FilmFour,Cinemax",PG-13 (Some Sexual Content),Documentary,English,"Jan 25, 2000, Original","Feb 4, 2017",1h 19m,The Eyes of Tammy Faye,,,$1.0M,,
Colette Camden,,,,,TV-MA (Language|Sexual Violence References|Smoking),"Documentary,Crime",English,,"Jan 10, 2023",1h 25m,The Hatchet Wielding Hitchhiker,,,,,
"Joaquín Cociña,Cristóbal León","Niles Atallah,Catalina Vergara","Joaquín Cociña,Cristóbal León,Alejandra Moffat",KimStim,,,"Fantasy,Horror,Drama,Animation",Spanish,"May 15, 2020, Limited","May 15, 2020",1h 15m,The Wolf House,,,,,
Richard Styles,"G. Monty Brinson,Kim Richards",,,Brinson-Richards Entertainment,,Mystery & Thriller,English,,,1h 28m,Escape,,,,,
Konstantin Buslov,"Konstantin Buslov,Sergey Bodrov","Sergey Bodrov,Anatoliy Usov,Aleksey Borodachyov",Top Film,RB Production,,"Biography,War,Drama",Russian,,"Feb 16, 2021",1h 50m,Kalashnikov,,,,,
Andrew Bowser,"Clark Baker,Michael Mobley,Olivia Taylor Dudley,Andrew Bowser",Andrew Bowser,Fathom Events,Greenery Studios,,"Comedy,Horror,Action",English,"Oct 19, 2023, Limited","Nov 14, 2023",1h 50m,Onyx the Fortuitous and the Talisman of Souls,,Digital 2.39:1,,,
Amy Seimetz,"Justin Benson,David Lawson Jr.,Aaron Moorhead,Amy Seimetz",Amy Seimetz,NEON,Rustic Films,R (Sexual Reference|Drug Use|Bloody Images),"Mystery & Thriller,Drama",English,"Jul 31, 2020, Limited","Aug 7, 2020",1h 24m,She Dies Tomorrow,,,,,
Ben Senior,Ben Senior,Ben Senior,,"Little Lake Productions,Monkey Studios",,Romance,English,,"Feb 5, 2020",1h 40m,The Fall,,,,,
Nick Rowland,Daniel Emmerson,Joe Murtagh,Saban Films,"Screen Ireland,Film 4,DMC Film,Element Pictures,WRAP Fund",R (Drug Use|Brief Nudity|Pervasive Language|Some Strong Violence),"Crime,Drama,Mystery & Thriller",British English,"Jul 31, 2020, Limited","Jul 31, 2020",1h 41m,The Shadow of Violence,,Scope (2.35:1),,,
Alicia Rose,,Alicia Rose,,,,"Comedy,Romance",English,,,7m,The Wave,,,,,
"Brian Mulvey,Seth Tucker",,Brian Mulvey,Gravitas Ventures,,,Documentary,English,,"Aug 6, 2024",1h 41m,American Highway,,,,,
Brandon Slagle,"Michael Mahal,Sonny Mahal","Brandon Slagle,Michael Mahal,Sonny Mahal",Gravitas Ventures,"Blaen-Y-Maes Bootleg Films,FilmCore,Spicy Ramen Productions,Mezek Films,Wicked Monkey Pictures,Mahal Empire,Terrifying Productions,Alien Donut Films",,"Comedy,Horror",English,,"Jun 25, 2024",1h 35m,Arena Wars,,,,,
Sébastien Drouin,"James Barton-Steel,Julien Loeffler,James Kermack","Sébastien Drouin,Sébastien Drouin,Andrew Desmond,James Kermack",Level 33 Entertainment,"Featuristic Films,Trilight Entertainment",,Mystery & Thriller,English,"Feb 23, 2024, Limited","Feb 23, 2024",1h 27m,Cold Meat,Dolby Atmos,,,,
Paul Moore,,,,,R (Some Sexual Content|Drug Use|Language|Horror Violence),Horror,English,,,1h 28m,Dark Harvest,,,,,
Anthony DiBlasi,"Scott Poiley,Dan Clifton","Anthony DiBlasi,Scott Poiley",Welcome Villain Films,"Welcome Villain,Skyra Entertainment",,Horror,English,"Mar 31, 2023, Limited","May 16, 2023",1h 32m,Malum,,,$220.0K,,
"Kyle Marshall,Dave Needham","Paul Gertz,David Kirschner","Bill Kelly,Kevin Sullivan,Chris Viscardi,J. David Stem,David N. Weiss",Nickelodeon,"Nickelodeon Movies,David Kirschner Productions",,"Kids & Family,Adventure,Action,Animation",English,,"Jun 21, 2024",1h 42m,No Time to Spy: A Loud House Movie,,,,,
Jo Sung-hee,"Kim Su-jin,Yoon In-beom","Jo Sung-hee,Mokan,Yoogang Seoae",,Netflix,,Sci-Fi,Korean,,"Feb 5, 2021",2h 16m,Space Sweepers,,,,,
Ralph Nelson,Ralph Nelson,"Jack Higgins,Ralph Nelson",,Metro-Goldwyn-Mayer,PG,Western,English,,,1h 51m,The Wrath of God,,,,"Sep 11, 2012",
Richard Thorpe,Joe Pasternak,,,Metro-Goldwyn-Mayer,,Musical,English,"Nov 4, 1954, Limited","Jan 8, 2017",1h 36m,Athena,,,,,
Gordon Hessler,Gerald I. Isenberg,,,Metromedia Productions,,Mystery & Thriller,English,,"Jun 30, 2016",1h 14m,Betrayal,,,,,
Karim Ouelhaj,"Florence Saâdi,Nicolas George,Karim Ouelhaj",Karim Ouelhaj,Dark Star Pictures,Les Films du Carré,,"Horror,Mystery & Thriller",French,"Sep 8, 2023, Limited","Sep 26, 2023",1h 40m,Megalomaniac,,,,,
Michael Aki,,"Michael Aki,Robert Burke",,,,"Mystery & Thriller,Romance",English,,,1h 47m,Strangers,,,,,
Leonardo D'Agostini,,"Giulia Steigerwalt,Leonardo D'Agostini,Antonella Lattanzi",,RAI Cinema,,Drama,Italian,,,1h 45m,The Champion,,,,,
Yuval Adler,"Lorenzo di Bonaventura,Stuart Ford,Erik Howsam,Greg Shapiro,Adam Riback","Ryan Covington,Yuval Adler",Bleecker Street,"Fibonacci Films,AGC Studios,Echo Lake Entertainment,Di Bonaventura Pictures,Kirkhaus Films",R (Language|Brief Sexuality|Rape|Some Nudity|Strong Violence),Mystery & Thriller,English,"Sep 16, 2020, Limited","Oct 16, 2020",1h 38m,The Secrets We Keep,,,$207.9K,,
Junaid Syed,"Hayley Medwell,Junaid Syed,Jatinder Kumar Bhardwaj",,Vertical,,,"Sci-Fi,Mystery & Thriller",British English,"Apr 21, 2023, Limited","Apr 21, 2023",1h 25m,War of the Worlds: The Attack,,Scope (2.35:1),,,
"Eren Celeboglu,Ari Costa","Angela Russo-Otstot,Kassee Whiting,John Zois","J.J. Braider,Eren Celeboglu,Ari Costa",Vertical,"E1 Entertainment,Anton,AGBO",,"Horror,Mystery & Thriller",English,"Sep 1, 2023, Limited","Sep 1, 2023",1h 16m,All Fun and Games,,Digital 2.39:1,,,
Jonathan Cenzual Burley,Jonathan Cenzual Burley,Jonathan Cenzual Burley,,,,Drama,Spanish,,"Mar 7, 2018",1h 38m,The Shepherd,,,,,
Karen Arthur,,,,Touchstone Television,,Drama,English,,,1h 36m,Blue Bayou,,,,,
Rapman,"Damian Jones,Joy Gharoro-Akpojotor",Rapman,,"Paramount Pictures,BBC Films,Joi Productions,DJ Films,WrushMedia",R (Language Throughout|Drug Use|Some Sexuality|Violence),"Crime,Drama",British English,,"May 5, 2020",1h 31m,Blue Story,,,,,
John Swab,"Robert Ogden Barnum,Oliver Ridge,Jeremy M. Rosen,John Swab",John Swab,Vertical Entertainment,"Particular Crowd,One Two Twenty Entertainment,Roxwell Films,BondIt Media Capital,Blood Moon Creative,Voltage Pictures",R (Some Sexual Content|Pervasive Language|Strong Drug Content),"Crime,Drama,Mystery & Thriller",English,"Feb 19, 2021, Limited","Feb 19, 2021",1h 53m,Body Brokers,,,,,
Sean McNamara,Charles Cooper,Brian Buccellato,SP Media Group,"Front Street Pictures,Gaming Danger",R (Strong Violence|Language Throughout|Gore),"Mystery & Thriller,Drama",English,"Oct 21, 2022, Limited","Oct 21, 2022",1h 36m,Dangerous Game: The Legacy Murders,,,,,
"Ken McMullen,Christopher Rodrigues",,,,,,Drama,English,,,1h 30m,Resistance,,,,,
Michael Cristofer,"Bruce Cohen,Steven Rogers,Scott Thigpen,Marie Halliday",Elisabeth Seldes Annacone,Max,"Places Productions,Crazy Legs Features,Cloud to Ground,LineProd Films,Sonny Boy Productions,HBO Films,Uncle Easy Productions,Bruce Cohen Productions",,Drama,English,,"May 31, 2024",1h 54m,The Great Lillian Hall,,,,,
Hannah Pearl Utt,"Mallory Schwartz,Jeffrey Soros,Simon Horsman",Rhianon Jones,Brainstorm Media,"Almanor Films,Neon Heart Productions,Los Angeles Media Fund",,"Comedy,LGBTQ+,Drama,Romance",English,"Jun 14, 2024, Limited","Jul 12, 2024",1h 32m,Cora Bora,,,$26.6K,,
Andrew Ahn,,"Hannah Bos,Paul Thureen",,"Allusionist Pictures,Symbolic Exchange,Electric Panda Entertainment,Studio Mao,Maven Pictures,CinemaWerks",,Drama,English,,"May 8, 2020",1h 23m,Driveways,,,,,
Jonathan Kaplan,"Sarah Pillsbury,Midge Sanford",Barbara Benedek,Columbia Pictures,"Columbia Pictures Corporation,Sanford/Pillsbury Productions",PG-13,"Comedy,Drama",English,"Oct 27, 1989, Original","Apr 16, 2012",1h 40m,Immediate Family,"Dolby,Surround",35mm,$5.4M,,
Brian King,,Brian King,,Instinctive Film,R (Some Language|Violent Content),Mystery & Thriller,English,,"Jan 7, 2013",1h 31m,Night Train,,,,,
"Ufuk Genc,Michael Popescu",,Rafael Alberto Garciolo,,Papermoon Films,,Action,German,,,1h 43m,Plan B,,,,,
,"Eric Stough,Adrien Beard,Bruce Howell,Vernon Chatman",,Paramount+,MTV Entertainment Studios,,"Comedy,Animation",English,,"May 24, 2024",50m,South Park: The End of Obesity,,,,,
Anthony Mann,Hal B. Wallis,"Niven Busch,Charles Schnee",Paramount Pictures,Paramount Pictures,,Western,English,"Aug 16, 1950, Wide","Jul 1, 2017",1h 49m,The Furies,,,,,
Peter Sullivan,,Hanz Wasserburger,,Hybrid,,Mystery & Thriller,English,,"Jul 10, 2023",1h 30m,Trapped in the Farmhouse,,,,,
Sam Liu,"James Krieg,Sam Liu,Kimberly S. Moreau",Jase Ricci,Warner Bros. Home Entertainment,Warner Bros. Animation,PG-13 (Language|Disturbing Images|Brief Partial Nudity|Some Strong Violence),"Action,Adventure,Fantasy,Animation",English,,"Mar 28, 2023",1h 26m,Batman: The Doom That Came to Gotham,,,,,
Sharon Maguire,Justin Springer,"Kari Granlund,Melissa Stack",,"The Montecito Picture Company,Walt Disney Pictures",PG (Some Suggestive Comments),"Comedy,Fantasy",English,,"Dec 4, 2020",1h 50m,Godmothered,"Dolby Digital,Dolby Atmos",,,,
Nenad Cicin-Sain,"Matt Damon,Ben Affleck,Sarah Anthony,Ned O'Hanlon",Bill S. Carter,Fifth Season,"Fifth Season,Artists Equity",,"Documentary,War",English,"Feb 23, 2024, Limited","May 7, 2024",1h 43m,Kiss the Future,,,,,
David Duchovny,"Jordan Yale Levine,Jordan Beckerman,Tiffany Kuzon,David Duchovny",David Duchovny,Vertical,Yale Productions,,"Comedy,Drama,Romance",English,"Jun 14, 2024, Limited","Jun 14, 2024",1h 45m,Reverse the Curse,,,,,
Greg McLean,"David Lightfoot,Greg McLean,Matt Hearn",Greg McLean,Third Rail,"Dimension Films,Village Roadshow Pictures",R (Some Creature Violence|Language),"Horror,Mystery & Thriller",English,"Apr 25, 2008, Limited","May 22, 2017",1h 32m,Rogue,"Dolby Digital,DTS",,$7.7K,,
Numa Perrier,"Glendon Palmer,Gabrielle Union,Jeff Morrone,Codie Elaine Oliver,Tommy Oliver",Leigh Davenport,Netflix,"Confluential Films,AGC Studios",,"Romance,Comedy,Drama",English,,"Jun 23, 2023",1h 39m,The Perfect Find,Dolby Digital,,,,
